ID,Pred
2010_3124_3201,1
2010_3173_3395,1
2010_3181_3214,1
2010_3199_3256,1
2010_3207_3265,1
2010_3208_3408,1
2010_3211_3314,1
2010_3234_3353,1
2010_3246_3251,1
2010_3216_3261,0
2010_3132_3277,0
2010_3151_3329,0
2010_3343_3385,0
2010_3390_3415,1
2010_3122_3397,0
2010_3340_3401,0
2010_3114_3210,1
2010_3163_3380,1
2010_3235_3250,1
2010_3280_3292,1
2010_3304_3320,1
2010_3156_3323,0
2010_3326_3384,1
2010_3328_3355,1
2010_3361_3400,1
2010_3241_3396,0
2010_3301_3417,0
2010_3177_3435,0
2010_3436_3458,1
2010_3249_3452,0
2010_3438_3453,0
2010_3190_3462,0
2010_3124_3207,1
2010_3181_3261,1
2010_3199_3385,1
2010_3208_3329,1
2010_3211_3401,1
2010_3246_3277,1
2010_3234_3390,0
2010_3173_3397,0
2010_3163_3396,1
2010_3235_3453,1
2010_3280_3326,1
2010_3304_3417,1
2010_3323_3436,1
2010_3114_3328,0
2010_3361_3452,1
2010_3435_3462,0
2010_3124_3397,1
2010_3181_3361,1
2010_3208_3390,0
2010_3211_3462,0
2010_3163_3235,1
2010_3199_3280,1
2010_3246_3304,1
2010_3323_3328,0
2010_3124_3181,1
2010_3390_3462,1
2010_3163_3199,1
2010_3246_3328,0
2010_3124_3163,0
2010_3328_3390,0
2010_3163_3390,1
2011_3177_3298,1
2011_3181_3404,1
2011_3132_3210,0
2011_3211_3234,1
2011_3214_3246,0
2011_3235_3265,0
2011_3266_3400,1
2011_3201_3314,0
2011_3323_3428,1
2011_3326_3416,1
2011_3173_3336,0
2011_3385_3403,1
2011_3390_3413,1
2011_3113_3396,0
2011_3391_3397,0
2011_3285_3417,0
2011_3124_3341,1
2011_3163_3216,1
2011_3199_3359,1
2011_3207_3343,1
2011_3208_3292,1
2011_3257_3435,1
2011_3268_3384,1
2011_3205_3274,0
2011_3277_3320,1
2011_3241_3328,0
2011_3243_3345,0
2011_3256_3353,0
2011_3270_3401,0
2011_3222_3452,0
2011_3114_3453,0
2011_3355_3462,0
2011_3177_3336,1
2011_3181_3265,1
2011_3211_3417,1
2011_3246_3314,0
2011_3323_3396,1
2011_3210_3326,0
2011_3385_3390,0
2011_3266_3397,0
2011_3124_3452,1
2011_3163_3345,1
2011_3207_3268,1
2011_3199_3208,0
2011_3257_3462,1
2011_3274_3328,0
2011_3353_3401,0
2011_3277_3453,0
2011_3211_3257,1
2011_3323_3328,1
2011_3314_3390,0
2011_3326_3397,0
2011_3124_3453,1
2011_3163_3207,1
2011_3177_3181,0
2011_3208_3401,0
2011_3323_3397,1
2011_3211_3390,0
2011_3163_3181,1
2011_3124_3401,0
2011_3163_3323,0
2011_3390_3401,0
2011_3323_3401,0
2012_3116_3173,1
2012_3163_3341,1
2012_3140_3177,0
2012_3211_3353,1
2012_3243_3343,1
2012_3246_3270,1
2012_3257_3277,1
2012_3268_3298,1
2012_3226_3274,0
2012_3345_3355,1
2012_3185_3376,0
2012_3214_3390,0
2012_3397_3404,1
2012_3107_3401,0
2012_3400_3452,0
2012_3235_3453,0
2012_3124_3364,1
2012_3143_3234,1
2012_3114_3174,0
2012_3181_3359,1
2012_3196_3326,1
2012_3201_3207,0
2012_3210_3357,1
2012_3242_3304,1
2012_3261_3361,1
2012_3208_3265,0
2012_3251_3323,0
2012_3276_3328,0
2012_3336_3431,1
2012_3195_3382,0
2012_3166_3385,0
2012_3292_3435,0
2012_3163_3243,1
2012_3211_3274,1
2012_3246_3453,1
2012_3257_3268,0
2012_3345_3376,0
2012_3390_3452,1
2012_3177_3397,0
2012_3116_3401,0
2012_3124_3196,1
2012_3181_3435,1
2012_3207_3210,0
2012_3174_3242,0
2012_3143_3323,0
2012_3261_3336,0
2012_3265_3382,0
2012_3328_3385,0
2012_3124_3210,1
2012_3181_3385,1
2012_3376_3390,0
2012_3242_3397,0
2012_3163_3336,1
2012_3211_3246,0
2012_3268_3401,1
2012_3323_3382,1
2012_3124_3397,1
2012_3181_3390,0
2012_3163_3246,1
2012_3268_3323,0
2012_3124_3390,1
2012_3163_3323,0
2012_3124_3323,1
2013_3143_3201,1
2013_3163_3225,1
2013_3166_3393,1
2013_3208_3285,1
2013_3211_3235,0
2013_3160_3242,0
2013_3268_3346,1
2013_3265_3277,0
2013_3151_3304,0
2013_3141_3328,0
2013_3355_3376,0
2013_3378_3403,1
2013_3331_3397,0
2013_3401_3455,1
2013_3391_3417,0
2013_3386_3435,0
2013_3124_3341,1
2013_3173_3385,1
2013_3174_3452,1
2013_3181_3214,1
2013_3199_3343,1
2013_3234_3274,1
2013_3246_3298,1
2013_3257_3292,1
2013_3261_3453,1
2013_3276_3437,1
2013_3107_3314,0
2013_3323_3404,1
2013_3177_3329,0
2013_3142_3336,0
2013_3251_3345,0
2013_3390_3409,1
2013_3143_3378,1
2013_3163_3435,1
2013_3208_3235,1
2013_3242_3376,1
2013_3268_3277,1
2013_3304_3401,1
2013_3328_3417,1
2013_3166_3397,0
2013_3124_3199,1
2013_3174_3314,1
2013_3181_3329,1
2013_3173_3246,0
2013_3257_3345,1
2013_3261_3336,1
2013_3234_3323,0
2013_3276_3390,0
2013_3143_3261,1
2013_3163_3268,1
2013_3208_3390,1
2013_3174_3246,0
2013_3181_3304,1
2013_3124_3257,0
2013_3242_3323,0
2013_3328_3397,0
2013_3143_3208,1
2013_3163_3246,1
2013_3257_3397,1
2013_3181_3323,0
2013_3163_3323,1
2013_3143_3257,0
2013_3163_3257,1
2014_3113_3435,1
2014_3124_3443,1
2014_3140_3301,1
2014_3143_3200,1
2014_3177_3328,1
2014_3181_3457,1
2014_3199_3235,1
2014_3246_3460,1
2014_3201_3304,0
2014_3323_3352,1
2014_3195_3329,0
2014_3103_3345,0
2014_3385_3425,1
2014_3377_3390,0
2014_3151_3393,0
2014_3322_3397,0
2014_3163_3341,1
2014_3173_3196,0
2014_3234_3265,1
2014_3211_3241,0
2014_3225_3257,0
2014_3210_3261,0
2014_3119_3268,0
2014_3214_3277,0
2014_3314_3404,1
2014_3292_3333,0
2014_3336_3455,1
2014_3169_3376,0
2014_3208_3386,0
2014_3335_3400,0
2014_3315_3401,0
2014_3107_3452,0
2014_3124_3143,1
2014_3140_3304,1
2014_3177_3181,1
2014_3246_3393,1
2014_3113_3323,0
2014_3329_3345,1
2014_3199_3390,0
2014_3385_3397,0
2014_3163_3386,1
2014_3234_3257,0
2014_3261_3452,1
2014_3268_3400,1
2014_3277_3314,0
2014_3196_3336,0
2014_3333_3376,0
2014_3241_3401,0
2014_3124_3246,1
2014_3140_3163,0
2014_3323_3329,1
2014_3177_3401,0
2014_3257_3261,1
2014_3268_3397,1
2014_3314_3376,1
2014_3336_3390,0
2014_3163_3401,1
2014_3124_3323,0
2014_3257_3268,0
2014_3314_3390,0
2014_3163_3390,1
2014_3268_3323,0
2014_3163_3323,1
2015_3116_3321,1
2015_3124_3322,1
2015_3143_3455,1
2015_3173_3235,1
2015_3177_3278,1
2015_3107_3181,0
2015_3203_3211,0
2015_3110_3234,0
2015_3246_3398,1
2015_3274_3449,1
2015_3280_3408,1
2015_3285_3323,0
2015_3333_3355,1
2015_3366_3376,0
2015_3304_3393,0
2015_3400_3443,1
2015_3113_3325,1
2015_3114_3401,1
2015_3163_3383,1
2015_3195_3329,1
2015_3106_3199,0
2015_3140_3257,0
2015_3268_3308,1
2015_3251_3314,0
2015_3241_3326,0
2015_3328_3346,1
2015_3151_3338,0
2015_3343_3453,1
2015_3353_3371,1
2015_3261_3378,0
2015_3169_3390,0
2015_3129_3397,0
2015_3116_3124,0
2015_3173_3246,1
2015_3181_3280,1
2015_3211_3333,1
2015_3234_3274,1
2015_3177_3323,0
2015_3376_3393,1
2015_3143_3400,0
2015_3113_3114,1
2015_3163_3353,1
2015_3195_3199,0
2015_3257_3378,1
2015_3268_3343,1
2015_3314_3326,1
2015_3328_3390,0
2015_3338_3397,0
2015_3124_3234,1
2015_3113_3199,0
2015_3323_3390,1
2015_3314_3376,0
2015_3163_3400,1
2015_3173_3257,1
2015_3181_3268,0
2015_3211_3397,0
2015_3124_3323,0
2015_3199_3376,0
2015_3163_3173,1
2015_3268_3397,1
2015_3163_3268,1
2015_3323_3376,1
2015_3163_3323,1
2016_3107_3196,1
2016_3113_3308,1
2016_3120_3385,1
2016_3124_3225,1
2016_3177_3241,1
2016_3203_3243,0
2016_3146_3257,0
2016_3125_3277,0
2016_3151_3280,0
2016_3138_3326,0
2016_3333_3407,1
2016_3239_3376,0
2016_3329_3382,0
2016_3119_3393,0
2016_3397_3453,1
2016_3343_3452,0
2016_3163_3352,1
2016_3182_3371,1
2016_3199_3292,1
2016_3208_3231,0
2016_3246_3421,1
2016_3233_3268,0
2016_3140_3281,0
2016_3299_3323,0
2016_3328_3345,1
2016_3274_3355,0
2016_3161_3378,0
2016_3362_3390,0
2016_3106_3400,0
2016_3283_3401,0
2016_3218_3417,0
2016_3335_3449,0
2016_3120_3124,0
2016_3177_3257,1
2016_3277_3280,0
2016_3326_3452,1
2016_3333_3382,1
2016_3243_3376,0
2016_3107_3393,0
2016_3113_3397,0
2016_3163_3182,1
2016_3199_3401,1
2016_3246_3328,1
2016_3231_3323,0
2016_3355_3390,0
2016_3281_3400,0
2016_3378_3417,0
2016_3268_3449,0
2016_3323_3390,0
2016_3376_3393,0
2016_3326_3397,0
2016_3246_3449,0
2016_3124_3199,1
2016_3163_3280,1
2016_3177_3333,0
2016_3400_3417,1
2016_3393_3397,1
2016_3390_3449,0
2016_3163_3400,1
2016_3124_3333,0
2016_3163_3333,1
2016_3393_3449,1
2016_3163_3393,1
2017_3113_3277,1
2017_3166_3405,1
2017_3177_3320,1
2017_3199_3442,1
2017_3125_3246,0
2017_3137_3268,0
2017_3280_3407,1
2017_3281_3378,1
2017_3120_3301,0
2017_3323_3352,1
2017_3326_3443,1
2017_3253_3333,0
2017_3345_3453,1
2017_3376_3421,1
2017_3146_3400,0
2017_3189_3452,0
2017_3124_3411,1
2017_3143_3261,1
2017_3107_3163,0
2017_3181_3214,1
2017_3179_3243,0
2017_3151_3257,0
2017_3195_3274,0
2017_3211_3328,0
2017_3332_3396,1
2017_3266_3346,0
2017_3308_3390,0
2017_3235_3393,0
2017_3173_3397,0
2017_3335_3401,0
2017_3129_3417,0
2017_3286_3449,0
2017_3199_3281,1
2017_3268_3452,1
2017_3177_3280,0
2017_3323_3345,1
2017_3246_3326,0
2017_3166_3333,0
2017_3113_3376,0
2017_3301_3400,0
2017_3124_3143,1
2017_3163_3393,1
2017_3257_3397,1
2017_3181_3332,0
2017_3274_3346,0
2017_3243_3390,0
2017_3401_3417,0
2017_3328_3449,0
2017_3124_3257,1
2017_3280_3449,1
2017_3323_3326,1
2017_3390_3400,1
2017_3163_3417,1
2017_3199_3333,1
2017_3268_3332,0
2017_3346_3376,0
2017_3124_3280,0
2017_3323_3390,0
2017_3163_3332,1
2017_3199_3376,0
2017_3163_3280,0
2017_3376_3390,1
2017_3280_3376,0
2018_3124_3212,1
2018_3177_3328,1
2018_3129_3257,0
2018_3173_3266,0
2018_3268_3343,1
2018_3276_3294,1
2018_3278_3453,1
2018_3189_3301,0
2018_3169_3323,0
2018_3332_3370,1
2018_3333_3443,1
2018_3299_3376,0
2018_3251_3397,0
2018_3179_3401,0
2018_3355_3437,0
2018_3143_3438,0
2018_3113_3304,1
2018_3138_3378,1
2018_3141_3261,1
2018_3163_3384,1
2018_3166_3234,1
2018_3125_3181,0
2018_3195_3281,1
2018_3114_3199,0
2018_3208_3273,1
2018_3280_3311,1
2018_3203_3326,0
2018_3329_3393,1
2018_3274_3346,0
2018_3211_3390,0
2018_3263_3400,0
2018_3110_3417,0
2018_3124_3276,1
2018_3257_3266,1
2018_3268_3301,0
2018_3323_3437,1
2018_3278_3332,0
2018_3333_3397,1
2018_3376_3438,1
2018_3177_3401,0
2018_3138_3199,1
2018_3141_3326,1
2018_3163_3346,1
2018_3181_3208,1
2018_3280_3329,1
2018_3195_3390,0
2018_3113_3400,0
2018_3166_3417,0
2018_3257_3390,1
2018_3280_3301,1
2018_3124_3333,0
2018_3400_3417,0
2018_3163_3181,1
2018_3323_3401,1
2018_3141_3332,0
2018_3138_3376,0
2018_3257_3333,1
2018_3280_3417,1
2018_3163_3376,1
2018_3323_3332,1
2018_3257_3280,0
2018_3163_3323,0
2018_3280_3323,0
2019_3113_3416,1
2019_3138_3353,1
2019_3155_3377,1
2019_3163_3406,1
2019_3137_3199,0
2019_3231_3400,1
2019_3234_3273,1
2019_3257_3352,1
2019_3266_3349,1
2019_3195_3274,0
2019_3243_3276,0
2019_3280_3380,1
2019_3179_3281,0
2019_3332_3340,1
2019_3125_3376,0
2019_3401_3460,1
2019_3101_3124,0
2019_3120_3140,0
2019_3143_3314,1
2019_3114_3211,0
2019_3235_3308,1
2019_3246_3343,1
2019_3268_3347,1
2019_3141_3277,0
2019_3177_3283,0
2019_3263_3301,0
2019_3126_3323,0
2019_3129_3333,0
2019_3346_3355,0
2019_3390_3413,1
2019_3200_3393,0
2019_3397_3417,0
2019_3113_3274,1
2019_3138_3163,0
2019_3234_3281,1
2019_3257_3276,1
2019_3155_3280,0
2019_3231_3332,0
2019_3199_3376,0
2019_3266_3401,0
2019_3124_3143,1
2019_3235_3283,0
2019_3246_3301,0
2019_3277_3323,0
2019_3211_3333,0
2019_3355_3393,1
2019_3140_3390,0
2019_3268_3417,0
2019_3163_3417,1
2019_3257_3333,1
2019_3113_3280,0
2019_3332_3355,1
2019_3124_3376,1
2019_3234_3301,1
2019_3323_3401,1
2019_3283_3390,0
2019_3163_3257,1
2019_3280_3332,0
2019_3124_3234,1
2019_3323_3390,1
2019_3124_3332,1
2019_3163_3323,0
2019_3124_3323,1
